"ID","Binomial","Replicate","Class","Order","Family","Genus","Species","Subspecies","Common_name","Location","Latitude","Longitude","System","Units","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","FBname","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","DepthRangeShallow","DepthRangeDeep","DepthRangeRef","DepthRangeComShallow","DepthRangeComDeep","DepthComRef","SpecCode","Troph","seTroph","TrophObserved","Median_T","lcl_T","ucl_T","n_T"
3037,"Gasterosteus_aculeatus",0,"Fish","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus","NULL","Threespine","Paxton Lake Benthic",49.708577,-124.524937,"Freshwater","Population estimate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22222","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22191","NULL","NULL","NULL","NULL","Three-spined stickleback",86798,8,2.42000007629395,11,"TL",NA,NA,"5.099999904632568","TL",NA,NA,"0",100,50550,NA,NA,NA,"2420",3.30999994277954,0.177000001072884,TRUE,NA,NA,NA,NA
3038,"Gasterosteus_aculeatus",0,"Fish","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus","NULL","Threespine","Paxton Lake Limnetic",49.708577,-124.524937,"Freshwater","Population estimate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","359516","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","368885","NULL","NULL","NULL","NULL","Three-spined stickleback",86798,8,2.42000007629395,11,"TL",NA,NA,"5.099999904632568","TL",NA,NA,"0",100,50550,NA,NA,NA,"2420",3.30999994277954,0.177000001072884,TRUE,NA,NA,NA,NA
3039,"Gasterosteus_aculeatus",0,"Fish","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus","NULL","Threespine","Priest Lake Benthic",49.744639,-124.565535,"Freshwater","Population estimate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","118127","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","118058","NULL","NULL","NULL","NULL","Three-spined stickleback",86798,8,2.42000007629395,11,"TL",NA,NA,"5.099999904632568","TL",NA,NA,"0",100,50550,NA,NA,NA,"2420",3.30999994277954,0.177000001072884,TRUE,NA,NA,NA,NA
3040,"Gasterosteus_aculeatus",0,"Fish","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus","NULL","Threespine","Priest Lake Limnetic",49.744639,-124.565535,"Freshwater","Population estimate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","109115","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","110612","NULL","NULL","NULL","NULL","Three-spined stickleback",86798,8,2.42000007629395,11,"TL",NA,NA,"5.099999904632568","TL",NA,NA,"0",100,50550,NA,NA,NA,"2420",3.30999994277954,0.177000001072884,TRUE,NA,NA,NA,NA
3068,"Glyptocephalus_cynoglossus",1,"Fish","Pleuronectiformes","Pleuonectidae","Glyptocephalus","cynoglossus","NULL","Witch Flounder","4X",42.72956311,-65.0988351,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1594","1684","1344","NULL","NULL","NULL","NULL","Witch flounder",30193,25,NA,60,"SL",NA,NA,NA,NA,NA,NA,"18",1570,5951,45,366,6263,"26",3.17000007629395,0.150000005960464,TRUE,5.30000019073486,4.80000019073486,8.19999980926514,13
3069,"Glyptocephalus_cynoglossus",0,"Fish","Pleuronectiformes","Pleuonectidae","Glyptocephalus","cynoglossus","NULL","Witch Flounder","4VW",43.43761069,-57.69088789,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2323","2932","6457","NULL","NULL","NULL","NULL","Witch flounder",30193,25,NA,60,"SL",NA,NA,NA,NA,NA,NA,"18",1570,5951,45,366,6263,"26",3.17000007629395,0.150000005960464,TRUE,5.30000019073486,4.80000019073486,8.19999980926514,13
3076,"Glyptocephalus_zachirus",1,"Fish","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus","NULL","Rex sole","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1991430.542","NULL","1840591.569","NULL","2925805.578","NULL","2126978.321","NULL","1450308.402","NULL","3173992.169","NULL","3625141.143","NULL","NULL","NULL","NULL","Rex sole",30193,27,NA,60,"TL",NA,NA,"36","TL",NA,NA,"0",900,50610,61,500,2850,"4238",3.25,0.123999997973442,TRUE,NA,NA,NA,NA
3077,"Glyptocephalus_zachirus",1,"Fish","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus","NULL","Rex sole","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","180219.2226","217081.9561","173301.1747","NULL","93315.84849","NULL","112483.0572","NULL","NULL","NULL","139198.2788","NULL","NULL","NULL","NULL","Rex sole",30193,27,NA,60,"TL",NA,NA,"36","TL",NA,NA,"0",900,50610,61,500,2850,"4238",3.25,0.123999997973442,TRUE,NA,NA,NA,NA
3078,"Glyptocephalus_zachirus",1,"Fish","Pleuronectiformes","Pleuronectidae","Glyptocephalus","zachirus","NULL","Rex sole","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","70608.34286","NULL","NULL","35320.81818","NULL","NULL","NULL","NULL","NULL","Rex sole",30193,27,NA,60,"TL",NA,NA,"36","TL",NA,NA,"0",900,50610,61,500,2850,"4238",3.25,0.123999997973442,TRUE,NA,NA,NA,NA
3080,"Hemilepidotus_hemilepidotus",0,"Fish","Scorpaeniformes","Cottidae","Hemilepidotus","hemilepidotus","NULL","Red Irish Lord","Pacific Rim National Park",48.782655,-125.173875,"Marine","Count","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","1","1","NULL","NULL","NULL","NULL","Red Irish lord",2850,NA,NA,51,"TL",NA,NA,NA,NA,NA,NA,"0",450,58496,NA,NA,NA,"4093",3.52999997138977,0.569999992847443,TRUE,NA,NA,NA,NA
3088,"Hexagrammos_decagrammus",1,"Fish","Scorpaeniformes","Hexagrammidae","Hexagrammos","decagrammus","NULL","Kelp greenling","Pacific Rim National Park",48.782655,-125.173875,"Marine","Count","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","152","165","111","91","23","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kelp greenling",2850,18,NA,61,"TL",NA,NA,NA,NA,NA,NA,NA,46,2850,NA,NA,NA,"4032",3.58999991416931,0.550000011920929,TRUE,NA,NA,NA,NA
3089,"Hexagrammos_decagrammus",1,"Fish","Scorpaeniformes","Hexagrammidae","Hexagrammos","decagrammus","NULL","Kelp greenling","Pacific Rim National Park",48.782655,-125.173875,"Marine","Count","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","87","52","67","33","NULL","NULL","NULL","NULL","Kelp greenling",2850,18,NA,61,"TL",NA,NA,NA,NA,NA,NA,NA,46,2850,NA,NA,NA,"4032",3.58999991416931,0.550000011920929,TRUE,NA,NA,NA,NA
3090,"Hexagrammos_decagrammus",1,"Fish","Scorpaeniformes","Hexagrammidae","Hexagrammos","decagrammus","NULL","Kelp greenling","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","23133.88932","NULL","8090.063767","NULL","6171.119575","NULL","7425.032536","NULL","29151.17391","NULL","14549.19652","NULL","23815.46073","NULL","NULL","NULL","NULL","Kelp greenling",2850,18,NA,61,"TL",NA,NA,NA,NA,NA,NA,NA,46,2850,NA,NA,NA,"4032",3.58999991416931,0.550000011920929,TRUE,NA,NA,NA,NA
3093,"Hexanchus_griseus",1,"Fish","Hexanchiformes","Hexanchidae","Hexanchus","griseus","NULL","Bluntnose sixgill shark","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8008","NULL","NULL","9965.090909","NULL","NULL","NULL","NULL","NULL","Bluntnose sixgill shark",247,NA,NA,482,"TL",NA,NA,"300","TL",NA,NA,"1",2500,58302,180,1100,45445,"637",4.48000001907349,0.208000004291534,TRUE,NA,NA,NA,NA
3100,"Hippoglossoides_elassodon",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossoides","elassodon","NULL","Flathead sole","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","400151.0275","NULL","188260.0681","NULL","583423.1369","NULL","302507.5388","NULL","731147.0568","NULL","1345109.08","NULL","1475970.886","NULL","NULL","NULL","NULL","Flathead sole",2850,27,NA,52,"SL",NA,NA,NA,NA,NA,NA,"0",1050,6793,NA,NA,NA,"519",3.67000007629395,0.142000004649162,TRUE,NA,NA,NA,NA
3101,"Hippoglossoides_elassodon",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossoides","elassodon","NULL","Flathead sole","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1422067.914","NULL","NULL","340271.5455","NULL","NULL","NULL","NULL","NULL","Flathead sole",2850,27,NA,52,"SL",NA,NA,NA,NA,NA,NA,"0",1050,6793,NA,NA,NA,"519",3.67000007629395,0.142000004649162,TRUE,NA,NA,NA,NA
3133,"Hippoglossoides_platessoides",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossoides","platessoides","NULL","American Plaice","4X",42.72956311,-65.0988351,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","525","273","299","NULL","NULL","NULL","NULL","American plaice",30193,30,NA,82.5999984741211,"TL",NA,NA,NA,NA,NA,NA,"10",3000,58426,90,250,6263,"4239",3.73000001907349,0.479999989271164,FALSE,13.1000003814697,8.80000019073486,14.5,12
3134,"Hippoglossoides_platessoides",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossoides","platessoides","NULL","American Plaice","4VW",42.86687747,-61.18130929,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3369","5669","3515","NULL","NULL","NULL","NULL","American plaice",30193,30,NA,82.5999984741211,"TL",NA,NA,NA,NA,NA,NA,"10",3000,58426,90,250,6263,"4239",3.73000001907349,0.479999989271164,FALSE,13.1000003814697,8.80000019073486,14.5,12
3162,"Hippoglossus_hippoglossus",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossus","hippoglossus","NULL","Atlantic halibut","3NOPs4VWX5Zc",42.86687747,-61.18130929,"Marine","Biomass (t)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8530","10789","11501","NULL","NULL","NULL","NULL","Atlantic halibut",4705,50,NA,470,"TL","300","TL",NA,NA,NA,NA,"50",2000,4705,NA,NA,NA,"1371",4,0.453999996185303,TRUE,NA,NA,NA,NA
3168,"Hippoglossus_stenolepis",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossus","stenolepis","NULL","Pacific halibut","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","909893.433","NULL","1339222.153","NULL","518015.5455","NULL","545449.317","NULL","563304.0814","NULL","841030.1452","NULL","1094037.792","NULL","NULL","NULL","NULL","Pacific halibut",2850,55,NA,258,"TL","267","TL",NA,NA,NA,NA,"0",1200,50550,NA,NA,NA,"514",4.1399998664856,0.236000001430511,TRUE,NA,NA,NA,NA
3169,"Hippoglossus_stenolepis",1,"Fish","Pleuronectiformes","Pleuronectidae","Hippoglossus","stenolepis","NULL","Pacific halibut","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","46692.29023","46711.91921","40722.93977","NULL","22944.28527","NULL","102918.8212","NULL","NULL","NULL","59519.49824","NULL","NULL","NULL","NULL","Pacific halibut",2850,55,NA,258,"TL","267","TL",NA,NA,NA,NA,"0",1200,50550,NA,NA,NA,"514",4.1399998664856,0.236000001430511,TRUE,NA,NA,NA,NA
3176,"Hydrolagus_colliei",1,"Fish","Chimaeriformes","Chimaeridae","HYDROLAGUS","COLLIEI","NULL","Spotted ratfish","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1225815.87","NULL","1304827.239","NULL","2920760.936","NULL","1180002.019","NULL","3194505.636","NULL","1699322.138","NULL","2193578.727","NULL","NULL","NULL","NULL","Spotted ratfish",6793,NA,NA,100,"TL",NA,NA,NA,NA,NA,NA,"0",913,6793,50,400,43939,"2589",3.6800000667572,0.540000021457672,TRUE,5.59999990463257,NA,NA,2
3177,"Hydrolagus_colliei",1,"Fish","Chimaeriformes","Chimaeridae","HYDROLAGUS","COLLIEI","NULL","Spotted ratfish","West Coast Haida Gwaii",53.135067,-132.70632,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","29109.71779","44474.26349","81137.1632","NULL","24679.3204","NULL","29490.98468","NULL","NULL","NULL","42448.79028","NULL","NULL","NULL","NULL","Spotted ratfish",6793,NA,NA,100,"TL",NA,NA,NA,NA,NA,NA,"0",913,6793,50,400,43939,"2589",3.6800000667572,0.540000021457672,TRUE,5.59999990463257,NA,NA,2
3178,"Hydrolagus_colliei",1,"Fish","Chimaeriformes","Chimaeridae","HYDROLAGUS","COLLIEI","NULL","Spotted ratfish","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1923628.886","NULL","NULL","4353972.818","NULL","NULL","NULL","NULL","NULL","Spotted ratfish",6793,NA,NA,100,"TL",NA,NA,NA,NA,NA,NA,"0",913,6793,50,400,43939,"2589",3.6800000667572,0.540000021457672,TRUE,5.59999990463257,NA,NA,2
3183,"Icelinus_filamentosus",1,"Fish","Scorpaeniformes","Cottidae","Icelinus","filamentosus","NULL","Threadfish sculpin","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","19733.97262","NULL","4250.063902","NULL","23861.85481","NULL","41452.5638","NULL","51532.46615","NULL","48887.86965","NULL","34620.03575","NULL","NULL","NULL","NULL","Threadfin sculpin",2850,NA,NA,27,"TL",NA,NA,NA,NA,NA,NA,"18",800,6793,NA,NA,NA,"4102",3.45000004768372,0.560000002384186,TRUE,NA,NA,NA,NA
3184,"Icelinus_filamentosus",1,"Fish","Scorpaeniformes","Cottidae","Icelinus","filamentosus","NULL","Threadfish sculpin","Strait of Georgia",49.35,-123.87,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1834.857143","NULL","NULL","829.5","NULL","NULL","NULL","NULL","NULL","Threadfin sculpin",2850,NA,NA,27,"TL",NA,NA,NA,NA,NA,NA,"18",800,6793,NA,NA,NA,"4102",3.45000004768372,0.560000002384186,TRUE,NA,NA,NA,NA
3209,"Lepidopsetta_bilineata",1,"Fish","Pleuronectiformes","Pleuronectidae","Lepidopsetta","bilineata","NULL","Rock sole","West Coast Vancouver Island",49.31,-126.78,"Marine","Biomass","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","321571.3427","NULL","68245.09772","NULL","206137.0498","NULL","235063.3312","NULL","278174.0419","NULL","306601.8876","NULL","499852.1388","NULL","NULL","NULL","NULL","Rock sole",37594,26,NA,58,"TL","60","TL",NA,NA,NA,NA,"0",575,6793,0,183,6885,"24237",3.1800000667572,0.170000001788139,TRUE,NA,NA,NA,NA
