ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
531,Acipenser_transmontanus,0,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,NULL,White sturgeon,"Stock group 1, Fraser river between Mission and Bristol Island, British Columbia",49.22056,-121.87972,Freshwater,CPUE (fish per hook-hour),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.08,0.25,0.35,0.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
532,Orcinus_orca,0,Mammalia,Cetacea,Delphinidae,Orcinus,orca,,Killer whale / Orca,"Southern residents, British Columbia",49.4825,-124.067222,Marine,Number observed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71,71,71,80,80,81,84,82,78,75,74,77,81,84,83,82,88,90,91,96,94,96,97,91,88,84,82,79,80,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
533,Orcinus_orca,0,Mammalia,Cetacea,Delphinidae,Orcinus,orca,,Killer whale / Orca,"Northern residents, British Columbia",52.305873,-129.948255,Marine,Number observed,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121,128,129,131,134,141,147,150,151,154,155,162,170,177,184,185,193,198,205,209,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
534,Anoplopoma_fimbria,0,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,,Sablefish,"West Coast Vancouver Island, British Columbia",49.31,-126.78,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.172314205,NULL,0.123059474,NULL,0.041155011,NULL,0.105438271,NULL,0.1209399,NULL,0.075288589,NULL,0.218449627,NULL,NULL,NULL,NULL
535,Anoplopoma_fimbria,0,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,,Sablefish,"Haida Gwaii, British Columbia",52,-132,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.057497317,0.032871333,0.040426731,NULL,0.056320227,NULL,0.052999262,NULL,0.013279978,NULL,0.03336969,NULL,NULL,NULL,NULL
536,Anoplopoma_fimbria,0,Actinopterygii,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,,Sablefish,"Strait of Georgia, British Columbia",49.35,-123.87,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00016148,NULL,NULL,0.000345828,NULL,NULL,NULL,NULL,NULL
537,Anoplopoma_fimbria,1,Fish,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,NULL,Sablefish,West Coast Vancouver Island,49.31,-126.78,Marine,Biomass,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4000476.794,NULL,1806998.522,NULL,416367.0454,NULL,2381359.851,NULL,1408686.207,NULL,1095092.542,NULL,3536315.903,NULL,NULL,NULL,NULL
538,Anoplopoma_fimbria,1,Fish,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,NULL,Sablefish,West Coast Haida Gwaii,53.135067,-132.70632,Marine,Biomass,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1652756.358,550577.6644,1365452.823,NULL,1053975.816,NULL,1133928.284,NULL,NULL,NULL,918043.5017,NULL,NULL,NULL,NULL
539,Anoplopoma_fimbria,1,Fish,Scorpaeniformes,Anoplopomatidae,Anoplopoma,fimbria,NULL,Sablefish,Strait of Georgia,49.35,-123.87,Marine,Biomass,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3811.6,NULL,NULL,14646.27273,NULL,NULL,NULL,NULL,NULL
540,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,NULL,Wood frog,"South Pelican Hills - lake SPH800, Alberta",55.05,-113.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.8,7.3,2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
541,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,,Wood frog,"South Pelican Hills - lake SPH100, Alberta",55.05,-113.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,2.5,1.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
542,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,NULL,Wood frog,"South Calling Lake - lake SCL800, Alberta",55.01667,-113.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.4,5,4.7,1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
543,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,NULL,Wood frog,"South Calling Lake - lake SCL200, Alberta",55.01667,-113.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.5,7.5,1.7,1.5,10.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
544,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,NULL,Wood frog,"Lac La Biche - lake LLB800, Alberta",55.03333,-111.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.5,33.1,2.4,1.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
545,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,NULL,Wood frog,"Lac La Biche - lake LLB200, Alberta",55.03333,-111.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.5,17.1,1,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
546,Lithobates_sylvaticus,0,Amphibia,Anura,Ranidae,Lithobates,sylvaticus,NULL,Wood frog,"Lac La Biche - lake LLB20, Alberta",55.03333,-111.11667,Freshwater,Young-of-the-year captured per 100 trap-nights,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,4.5,8,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
547,Antimora_microlepis,0,Actinopterygii,Gadiformes,Moridae,Antimora,microlepis,,Finescale mora,"Haida Gwaii, British Columbia",52,-132,Marine,CPUE (Weight/ (minute towed*tow length)),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.000869979,0.000125011,0.000418843,NULL,5.76E-05,NULL,0.000592592,NULL,0.00015874,NULL,0.000230428,NULL,NULL,NULL,NULL
548,Antimora_microlepis,1,Fish,Gadiformes,Moridae,Antimora,microlepis,NULL,Finescale mora,West Coast Haida Gwaii,53.135067,-132.70632,Marine,Biomass,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53899.83306,7541.322672,54802.45328,NULL,5757.988854,NULL,33067.7771,NULL,NULL,NULL,29892.18844,NULL,NULL,NULL,NULL
549,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Antigonish, Nova Scotia",45.68314,-61.87121,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4821,799,5088,4791,4729,1742,1359,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
550,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Basin Head, Prince Edward Island",46.383134,-62.11238,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3027,3508,1430,1095,1177,499,382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
551,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Bathurst Harbour, New Brunswick",47.65259,-65.62222,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,217,67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
552,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Bouctouche, New Brunswick",46.475972,-64.710486,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9751,9360,1582,4581,5211,5666,1370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
553,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Brudenell-Montague,46.172776,-62.547863,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,1,7,NULL,3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
554,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Cape Jourimain, New Brunswick",46.136433,-63.802767,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,1,3,NULL,1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
555,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Cap-Pele, New Brunswick",46.1827,-64.11454,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,728,886,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
556,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Caraquet, New Brunswick",47.777114,-65.029957,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34,123,51,187,280,74,326,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
557,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Cheticamp,46.6243,-61.017433,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2286,2012,980,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
558,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,"Cocagne, New Brunswick",46.34102,-64.573724,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,996,1554,714,2539,1863,2930,894,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
559,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,DeSable River,46.19352778,-63.42713889,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,7,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
560,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Eel Ground,46.98624,-65.57426,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,111,370,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
561,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Hillsborrough,46.23122,-63.14804,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,59,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
562,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Lameque,47.789535,-64.646046,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,389,99,307,262,503,815,243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
563,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Mabou,46.07815,-61.455567,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1365,484,1655,1660,2587,1043,697,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
564,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Malpeque Bay,46.51210099,-63.88889579,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,140,103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
565,Lynx_canadensis,0,Mammalia,Carnivora,Felidae,Lynx,canadensis,NULL,Canadian lynx,"100km southeast of Whitehorse, south-central Yukon",60.25,-135.33333,Terrestrial,Density (no. of lynx per 100 kmÂ²),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,2.2,4.2,9.5,17.5,17.6,1.6,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
566,Apeltes_quadracus,0,Actinopterygii,Gasterosteiformes,Gasterosteidae,Apeltes,quadracus,,Fourspine stickleback,Mill River,46.773778,-64.126831,Marine,Number of individuals,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1835,819,340,605,489,206,330,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
