ID,Binomial,Replicate,Class,Order,Family,Genus,Species,Subspecies,Common_name,Location,Latitude,Longitude,System,Units,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,FBname,SpecCode,SpeciesRefNo,LongevityWild,AgeMax,LongevityCaptive,Length,LTypeMaxM,LengthFemale,LTypeMaxF,CommonLength,LTypeComM,CommonLengthF,LTypeComF,Weight,WeightFemale,MaxWeightRef,Median_T,lcl_T,ucl_T,n_T,Herbivory2,DietTroph,DietSeTroph,DietRemark,DietRef,FoodTroph,FoodSeTroph,FoodRemark,FoodRef,Troph,seTroph,TrophObserved,MaxLength_TLonly
342,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 3Ps",46.03458383,-55.99580924,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.596044311,NULL,11.5951087,13.09090909,7.679640871,5.601964508,9.765873016,6.025189604,6.494310426,7.510416667,10.13761468,5.88611389,3.330357143,8.42380032,3.573867551,14.54468834,8.017965744,7.418783777,4.808219178,8.967741936,8.579824561,16.28051646,7.62012987,7.072796935,6.354395604,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
343,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4R",49.69673981,-58.45213759,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9,1.45,1.675,1.655172414,1.916666667,2.085294158,2.441524767,1.926491233,3.2,2.589041096,2.716216216,4.82416331,NULL,3.05407408,1.87326393,2.797672662,2.925634284,2.763605449,4.117737037,4.291666693,2.905445219,2.973167048,3.066743785,3.043735192,5.729229243,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
344,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4S",49.65203712,-62.06790167,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1.571428571,1.3,2.25,0.75,2.199561417,4.443396226,1.142857143,3.331818182,2.826711556,NULL,4.059259256,4.321794892,2.154494421,4.999626899,3.473226169,4.786931818,3.690804545,1.216596367,2.907692315,0.929597724,2.129166642,2.895321632,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
345,Amblyraja_radiata,1,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4T",47.63768534,-63.7280474,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.296612897,2.808617319,2.184677697,3.501521798,2.81524968,1.713793662,1.351141303,4.040130353,2.337502867,5.873360024,8.369855277,1.519486243,2.070320692,2.420382127,10.73239517,1.633724886,3.031063136,4.222523395,6.323362964,3.400456587,3.664906234,4.722073363,3.890990317,4.227798531,4.765063624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
346,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4Vn",46.44191714,-59.34894137,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.3786802,17.0497984,4.216436818,5.553517539,6.590530571,7.641106091,4.537164286,1.664343571,1.814954056,4.284703893,3.230243759,3.77516125,2.151522857,2.337511433,3.9055843,1.855338136,2.910809103,3.489213077,5.114386217,2.591581875,10.24498236,3.232216233,3.731632073,3.262645793,6.592791067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
347,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4Vs",43.43761069,-57.69088789,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13.61489948,12.6644215,9.920757758,27.16741406,24.51164802,25.68596539,13.65006233,14.31301732,10.1919425,24.69907698,22.46829887,23.21539629,14.76862082,13.87089218,13.48647424,14.95031109,7.497987663,17.22065048,21.47249551,23.86627597,15.19084219,14.53939739,12.73065888,18.94745323,8.787085195,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
348,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4W",42.86687747,-61.18130929,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.921788901,3.60579725,4.014613255,5.432281861,3.874694708,11.123038,6.80105937,5.19883398,7.58307727,5.560184745,4.751967964,3.775209428,3.30561053,3.760620613,2.944581061,1.575962846,2.298489657,2.254463952,1.107349617,1.417927222,1.463910755,10.54942294,1.058205075,0.524428602,1.108638239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
349,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 4X",42.72956311,-65.0988351,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.934333286,0.917576878,2.386416478,3.602842851,4.420483553,5.796992449,3.475124039,4.89014898,2.777375,3.178349211,1.601508545,3.885730238,2.260391882,2.803229104,2.929692318,1.718777414,2.092809153,1.05692773,1.898928058,1.470324182,0.802989667,1.162112794,0.90666,0.801084955,1.105932647,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
350,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 5Y",44.26602876,-67.06471654,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5,2.125,6.045249,2.6142855,NULL,NULL,8.3103715,3.771428667,1.577206,3.227554,2.794737,1.266666667,3.890196,2.973684,1.933333333,NULL,3.7058825,NULL,1.264706,0.668730667,2.733333333,NULL,1.298245667,9.89011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
353,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"NAFO 5Ze",41.62750249,-66.21484739,Marine,Catch per tow,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.496586889,6.860294,NULL,NULL,1.365237235,NULL,3.044021,2.522978,0.851297868,0.929641895,1.354467055,1.915089646,0.533155091,0.709288717,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
354,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny skate,"Southern Gulf of St. Lawrence, NAFO 4T",47,-63,Marine,Average Biomass (kg) per standard tow (ie. 1.75 nautical mile tow),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.373814826,1.765069982,3.000194896,2.271776246,1.593978933,1.029219843,2.230674639,0.643569618,1.796218718,1.449215887,1.246147227,1.317982624,1.145398238,0.582167784,0.652458219,1.063324004,0.982867693,1.129391378,0.607876164,1.064304756,0.836294996,0.693733352,0.665029423,0.824073612,0.526386872,0.696648466,0.474377452,0.777390771,0.438985992,0.360621365,0.37477458,0.315990731,0.17469601,0.143560013,0.308011769,0.170166249,0.105200336,0.18221405,0.234537142,0.196648419,0.332707406,0.205141863,0.3313852,0.203773278,0.26709166,0.257772401,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
355,Amblyraja_radiata,1,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny Skate,"NAFO 4VW",44.19795,-61.56738,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21976165.5,19987919.9,21516782.3,37091807.8,30005580.4,42481466.4,23863461,21634274.3,15324606,15177346.3,16638933.2,22068694.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
358,Amblyraja_radiata,1,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny Skate,"NAFO 4VW",44.19795,-61.56738,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14018331,13238397.5,13575103.2,14735616.2,8409274.94,5736906.03,10664479.7,11424574.9,7911377.5,5862560.24,7102305.77,7639207.03,2877564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
359,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny Skate,"NAFO 4VW",44.19795,-61.56738,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7456279.22,5021560.02,3712223.46,4820900.53,7654886.94,2978948.07,2713053.07,1657028.81,6212530.98,4993499.21,11392792.3,4400663.62,5767335.14,2351962.25,1448571.77,2015044.46,3695936.3,1602181.67,1421503.26,705473.078,1110846.77,1184283.18,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
360,Amblyraja_radiata,1,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny Skate,"NAFO 4X",43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5528201.8,2783649.9,6601244,11113742.8,6908646.21,16868183.5,7556416.49,11595851.4,9095421.75,7461098.4,4223975.05,7206250.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
361,Amblyraja_radiata,1,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny Skate,"NAFO 4X",43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8996795.97,5706128.55,7400631.27,5818671.8,5934359.6,2466891.16,3238091.94,2984228.05,2270849.67,2540257.63,2748004.17,1572071.05,1928455.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
362,Amblyraja_radiata,0,Elasmobranchii,Rajiformes,Rajidae,Amblyraja,radiata,NA,Thorny Skate,"NAFO 4X",43.2532,-65.50048,Marine,Biomass (Kg),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1859717.89,1259024.95,2497472.37,1292847.63,2313340.12,589675.345,1123739.65,865442.622,830729.568,1010289.11,1325946.74,991446.873,1470353.75,1108640.11,302280.085,243987.265,231578.404,165782.744,323106.372,372050.202,605681.778,69390.9888,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
363,Amblyraja_radiata,0,Fish,Rajiformes,Rajidae,Amblyraja,radiata,NULL,Thorny Skate,Georges Bank,41.721127,-65.910905,Marine,Biomass indices (tonnes),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,63,40,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
364,Amblyraja_radiata,1,Fish,Rajiformes,Rajidae,Amblyraja,radiata,NULL,Thorny Skate,4X,42.72956311,-65.0988351,Marine,Biomass (t),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,372,606,69,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
365,Amblyraja_radiata,1,Fish,Rajiformes,Rajidae,Amblyraja,radiata,NULL,Thorny Skate,4VW,43.43761069,-57.69088789,Marine,Biomass (t),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,705,1111,1184,NULL,NULL,NULL,NULL,Starry ray,2565,27314,28,28,NA,105,TL,NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),4.2,0.268,Troph of adults from 5 studies.,37969,4.5,1.06,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,4.19999980926514,0.26800000667572,TRUE,105
367,Acipenser_oxyrinchus,0,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,oxyrinchus,Atlantic sturgeon,"Kamouraska area, St. Lawrence River estuary",47.78333,-69.665,Freshwater,CPUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.71,0.41,0.41,0.4,0.22,0.21,0.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Atlantic sturgeon,2593,5723,60,NA,5,403,TL,430,TL,NA,NA,250,TL,NA,368000,26938,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),NA,NA,"NA, NA","NA, NA",3.325,0.515,"Trophic level estimated from a number of food items using a randomized resampling routine., Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.26999998092651,0.529999971389771,TRUE,403
368,Acipenser_oxyrinchus,0,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,oxyrinchus,Atlantic sturgeon,"Montmagny area, St. Lawrence River estuary",47.26306,-70.42472,Freshwater,CPUE,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.83,3.41,2.17,2.07,2.37,4.38,2.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Atlantic sturgeon,2593,5723,60,NA,5,403,TL,430,TL,NA,NA,250,TL,NA,368000,26938,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),NA,NA,"NA, NA","NA, NA",3.325,0.515,"Trophic level estimated from a number of food items using a randomized resampling routine., Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.26999998092651,0.529999971389771,TRUE,403
374,Anarhichas_lupus,0,Actinopterygii,Perciformes,Anarhichadidae,Anarhichas,lupus,NA,Atlantic wolffish,"NAFO Division 2J3K, Northwest Atlantic Ocean (Fall survey, gear type 2)",52.054271,-52.757812,Marine,Number per tow (standardised index of relative abundance),NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9175,1.6601,1.3046,1.7765,2.0783,1.9471,1.6147,0.9575,1.0041,2.0716,2.1182,2.1648,3.1394,1.8635,1.7864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Atlantic wolffish,2501,4694,NA,22,NA,150,TL,NA,NA,NA,NA,NA,NA,23580,NA,40637,NA,NA,NA,NA,mainly animals (troph. 2.8 and up),3.55,NA,Troph of adults from 1 study.,37512,3.73,0.53,Trophic level estimated from a number of food items using a randomized resampling routine.,NA,3.85999989509583,0.389999985694885,FALSE,150
